nameWithOwner,createdAt,primaryLanguage,updatedAt,pullRequests
socketio/socket.io,2010-03-11T18:24:48Z,TypeScript,2025-03-14T16:19:32Z,435
kelseyhightower/nocode,2018-02-06T23:54:00Z,Dockerfile,2025-03-14T18:18:37Z,1
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,Python,2025-03-14T18:21:25Z,12940
danielmiessler/SecLists,2012-02-19T01:30:18Z,PHP,2025-03-14T18:17:33Z,663
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,Dart,2025-03-14T18:21:26Z,3574
immich-app/immich,2022-02-03T15:56:27Z,TypeScript,2025-03-14T18:17:33Z,5739
reduxjs/redux,2015-05-29T23:53:15Z,TypeScript,2025-03-14T11:44:07Z,1709
TheAlgorithms/Java,2016-07-16T10:21:02Z,Java,2025-03-14T18:33:30Z,1854
PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,HTML,2025-03-14T17:08:11Z,271
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,,2025-03-14T18:29:06Z,36
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,Assembly,2025-03-14T18:41:40Z,341
atom/atom,2012-01-20T18:18:21Z,JavaScript,2025-03-14T14:48:19Z,3937
lodash/lodash,2012-04-07T04:11:46Z,JavaScript,2025-03-14T15:22:24Z,581
bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,,2025-03-14T18:21:25Z,940
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,Nunjucks,2025-03-14T17:22:38Z,484
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,,2025-03-14T16:03:46Z,49
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,,2025-03-14T15:48:03Z,414
adam-p/markdown-here,2012-05-13T03:27:22Z,JavaScript,2025-03-14T14:19:15Z,25
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,,2025-03-14T17:20:35Z,194
jquery/jquery,2009-04-03T15:20:14Z,JavaScript,2025-03-14T06:27:52Z,789
Alvin9999/new-pac,2016-03-23T08:43:36Z,Python,2025-03-14T18:39:52Z,0
