nameWithOwner,createdAt,primaryLanguage,updatedAt
lydiahallie/javascript-questions,2019-06-12T08:26:27Z,,2025-03-14T13:22:44Z
sherlock-project/sherlock,2018-12-24T14:30:48Z,{'name': 'Python'},2025-03-14T17:25:49Z
twitter/the-algorithm,2023-03-27T14:57:57Z,{'name': 'Scala'},2025-03-14T16:19:20Z
obsproject/obs-studio,2013-10-01T02:40:31Z,{'name': 'C'},2025-03-14T17:03:47Z
keras-team/keras,2015-03-28T00:35:42Z,{'name': 'Python'},2025-03-14T16:54:07Z
Eugeny/tabby,2016-12-23T09:06:10Z,{'name': 'TypeScript'},2025-03-14T16:13:17Z
FuelLabs/sway,2021-01-19T20:54:33Z,{'name': 'Rust'},2025-03-14T17:03:49Z
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,,2025-03-14T16:39:16Z
fffaraz/awesome-cpp,2014-07-17T08:51:11Z,,2025-03-14T16:02:51Z
resume/resume.github.com,2011-02-06T13:39:55Z,{'name': 'JavaScript'},2025-03-14T17:21:26Z
openai/openai-cookbook,2022-03-11T02:08:53Z,{'name': 'MDX'},2025-03-14T17:33:29Z
caddyserver/caddy,2015-01-13T19:45:03Z,{'name': 'Go'},2025-03-14T16:13:18Z
apache/echarts,2013-04-03T03:18:59Z,{'name': 'TypeScript'},2025-03-14T16:58:05Z
socketio/socket.io,2010-03-11T18:24:48Z,{'name': 'TypeScript'},2025-03-14T16:19:32Z
kelseyhightower/nocode,2018-02-06T23:54:00Z,{'name': 'Dockerfile'},2025-03-14T16:38:44Z
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,{'name': 'Python'},2025-03-14T15:52:52Z
danielmiessler/SecLists,2012-02-19T01:30:18Z,{'name': 'PHP'},2025-03-14T17:26:54Z
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,{'name': 'Dart'},2025-03-14T17:34:48Z
immich-app/immich,2022-02-03T15:56:27Z,{'name': 'TypeScript'},2025-03-14T17:15:43Z
reduxjs/redux,2015-05-29T23:53:15Z,{'name': 'TypeScript'},2025-03-14T11:44:07Z
TheAlgorithms/Java,2016-07-16T10:21:02Z,{'name': 'Java'},2025-03-14T17:27:38Z
PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,{'name': 'HTML'},2025-03-14T17:08:11Z
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,,2025-03-14T16:48:35Z
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,{'name': 'Assembly'},2025-03-14T16:30:02Z
atom/atom,2012-01-20T18:18:21Z,{'name': 'JavaScript'},2025-03-14T14:48:19Z
lodash/lodash,2012-04-07T04:11:46Z,{'name': 'JavaScript'},2025-03-14T15:22:24Z
bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,,2025-03-14T16:26:39Z
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,{'name': 'Nunjucks'},2025-03-14T17:22:38Z
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,,2025-03-14T16:03:46Z
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,,2025-03-14T15:48:03Z
adam-p/markdown-here,2012-05-13T03:27:22Z,{'name': 'JavaScript'},2025-03-14T14:19:15Z
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,,2025-03-14T17:20:35Z
jquery/jquery,2009-04-03T15:20:14Z,{'name': 'JavaScript'},2025-03-14T06:27:52Z
Alvin9999/new-pac,2016-03-23T08:43:36Z,{'name': 'Python'},2025-03-14T17:32:02Z
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,{'name': 'Python'},2025-03-14T15:29:24Z
localsend/localsend,2022-12-16T00:46:07Z,{'name': 'Dart'},2025-03-14T16:58:59Z
facebook/docusaurus,2017-06-20T16:13:53Z,{'name': 'TypeScript'},2025-03-14T17:32:25Z
OpenInterpreter/open-interpreter,2023-07-14T07:10:44Z,{'name': 'Python'},2025-03-14T16:30:22Z
angular/angular.js,2010-01-06T00:34:37Z,{'name': 'JavaScript'},2025-03-13T17:16:19Z
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,{'name': 'C#'},2025-03-14T11:40:56Z
nektos/act,2019-01-02T19:53:43Z,{'name': 'Go'},2025-03-14T16:53:20Z
localstack/localstack,2016-10-25T23:48:03Z,{'name': 'Python'},2025-03-14T17:03:54Z
alacritty/alacritty,2016-02-18T05:02:30Z,{'name': 'Rust'},2025-03-14T17:06:44Z
meta-llama/llama,2023-02-14T09:29:12Z,{'name': 'Python'},2025-03-14T17:30:06Z
FuelLabs/fuel-core,2020-08-27T21:12:14Z,{'name': 'Rust'},2025-03-14T15:08:37Z
prometheus/prometheus,2012-11-24T11:14:12Z,{'name': 'Go'},2025-03-14T17:33:19Z
